20.8419;49.364922.8311;72.1311;20.6845;55.6169
22.8128;56.536324.986;89.6243;23.096;71.6719
23.805;60.676726.7495;110.241;24.2718;81.2703
24.4478;62.530827.4726;119.652;25.1522;83.4297
25.2116;66.994128.6539;136.176;25.7523;88.3778
25.6047;67.66728.7652;131.708;26.338;97.1549
26.1242;69.71729.6289;143.919;26.6816;96.1891
26.3868;70.271630.0478;153.23;27.1167;100.278
26.7862;73.153830.2981;155.794;27.3981;107.852
27.051;75.460731.0296;172.149;27.6926;110.791
27.3876;77.733130.9813;166.529;27.8641;106.84
27.6274;77.978931.293;170.138;28.2854;112.197
27.6612;77.462131.812;181.261;28.6625;127.584
28.0704;80.750632.2315;193.331;28.6108;115.043
28.1241;79.953932.5114;192.57;28.8725;119.887
28.399;81.323532.7272;202.43;29.0869;125.46
28.5417;83.313232.5659;195.375;29.4854;127.286
28.8028;85.354932.7596;196.069;29.393;126.575
28.7549;84.46733.2677;210.123;29.3929;123.996
28.7505;84.102933.0665;200.348;29.9206;145.209
29.0521;87.277233.4558;214.618;29.7398;130.183
29.0696;86.147433.9207;221.473;30.0097;129.845
29.3413;88.175533.9939;218.38;29.8733;132.926
29.3444;87.645933.9751;226.192;30.1414;133.926
29.6283;90.411534.5203;234.238;30.3803;136.738
29.7327;90.912434.6533;241.846;30.1997;127.32
